[]
[4, 2412]
         1439833 function calls (1436449 primitive calls) in 5.503 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 scaddr.py:65(Forward)
    12490    0.012    0.000    0.012    0.000 scaddr.py:7(__init__)
     1756    0.030    0.000    5.233    0.003 scaddr.py:70(__init__)
     1756    0.001    0.000    0.001    0.000 scaddr.py:78(__lshift__)
        2    0.000    0.000    0.000    0.000 scaddr.py:90(Evaluate)
        1    0.000    0.000    0.000    0.000 simpleblock.py:1(<module>)
        1    0.000    0.000    0.977    0.977 smemio.py:1(<module>)
        1    0.000    0.000    0.971    0.971 smemio.py:12(f_strcpy)
        6    0.000    0.000    0.000    0.000 sre_compile.py:172(_compile_charset)
        6    0.000    0.000    0.000    0.000 sre_compile.py:201(_optimize_charset)
       21    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
        3    0.000    0.000    0.000    0.000 sre_compile.py:302(_mk_bitmap)
        3    0.000    0.000    0.000    0.000 sre_compile.py:304(<listcomp>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:315(_simple)
     11/2    0.000    0.000    0.000    0.000 sre_compile.py:33(_compile)
        2    0.000    0.000    0.000    0.000 sre_compile.py:341(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:442(isstring)
        2    0.000    0.000    0.000    0.000 sre_compile.py:445(_code)
        2    0.000    0.000    0.001    0.000 sre_compile.py:460(compile)
       18    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
       41    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
        5    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
       20    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
     16/7    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
       57    0.000    0.000    0.000    0.000 sre_parse.py:183(__next)
       40    0.000    0.000    0.000    0.000 sre_parse.py:202(match)
       50    0.000    0.000    0.000    0.000 sre_parse.py:208(get)
        8    0.000    0.000    0.000    0.000 sre_parse.py:253(_class_escape)
      4/2    0.000    0.000    0.000    0.000 sre_parse.py:351(_parse_sub)
      5/2    0.000    0.000    0.000    0.000 sre_parse.py:429(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:724(fix_flags)
        2    0.000    0.000    0.000    0.000 sre_parse.py:736(parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       11    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.001    0.001 stage1.py:5(<module>)
        1    0.000    0.000    5.254    5.254 stage2.py:3(<module>)
        1    0.000    0.000    0.142    0.142 stage3.py:13(FlipProp)
        1    0.000    0.000    0.147    0.147 stage3.py:5(<module>)
        1    0.000    0.000    0.000    0.000 stockact.py:1(<module>)
     1925    0.007    0.000    0.035    0.000 stockact.py:288(SetDeaths)
     1235    0.002    0.000    0.038    0.000 stockact.py:376(SetMemory)
      515    0.002    0.000    0.023    0.000 stockact.py:380(SetNextPtr)
        1    0.000    0.000    0.017    0.017 stockcond.py:1(<module>)
      336    0.002    0.000    0.007    0.000 stockcond.py:126(Deaths)
      336    0.001    0.000    0.013    0.000 stockcond.py:174(Memory)
        1    0.000    0.000    0.001    0.001 strdict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 strdict.py:2(<dictcomp>)
        1    0.000    0.000    0.000    0.000 strdict.py:6(<dictcomp>)
        1    0.000    0.000    0.015    0.015 strenc.py:1(<module>)
     2261    0.006    0.000    0.011    0.000 strenc.py:36(_EncodeAny)
     2261    0.002    0.000    0.013    0.000 strenc.py:60(EncodeUnit)
        1    0.000    0.000    0.001    0.001 stringmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stringmap.py:5(StringIdMap)
     2261    0.005    0.000    0.005    0.000 stringmap.py:82(GetUnitIndex)
        1    0.000    0.000    0.000    0.000 swblock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tblformat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tblformat.py:8(TBL)
        1    0.000    0.000    5.503    5.503 test1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:71(<dictcomp>)
       19    0.000    0.000    0.000    0.000 tokenize.py:110(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:111(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:112(maybe)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:219(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:221(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:224(Untokenizer)
       25    0.000    0.000    0.001    0.000 tokenize.py:340(detect_encoding)
       27    0.000    0.000    0.001    0.000 tokenize.py:364(read_or_stop)
       27    0.000    0.000    0.000    0.000 tokenize.py:370(find_cookie)
       25    0.001    0.000    0.005    0.000 tokenize.py:433(open)
        1    0.000    0.000    0.000    0.000 tokenize.py:97(TokenInfo)
        1    0.000    0.000    0.007    0.007 traceback.py:1(<module>)
   117317    0.108    0.000    0.261    0.000 traceback.py:17(_format_list_iter)
     1756    0.004    0.000    0.004    0.000 traceback.py:270(_extract_stack_iter)
   115561    0.075    0.000    0.075    0.000 traceback.py:272(<lambda>)
     3512    0.003    0.000    0.004    0.000 traceback.py:274(_get_stack)
     1756    0.009    0.000    5.153    0.003 traceback.py:288(format_stack)
     1756    0.052    0.000    4.851    0.003 traceback.py:292(extract_stack)
     1756    0.029    0.000    0.290    0.000 traceback.py:32(format_list)
   117317    0.440    0.000    4.793    0.000 traceback.py:53(_extract_tb_or_stack_iter)
        1    0.000    0.000    0.003    0.003 trigger.py:1(<module>)
      931    0.012    0.000    1.270    0.001 trigger.py:10(__init__)
        3    0.000    0.000    0.000    0.000 trigger.py:49(GetDataSize)
        3    0.000    0.000    0.000    0.000 trigger.py:52(WritePayload)
        1    0.000    0.000    0.000    0.000 trigger.py:8(Trigger)
        1    0.000    0.000    0.000    0.000 triggerscope.py:1(<module>)
      841    0.004    0.000    2.601    0.003 triggerscope.py:12(NextTrigger)
      931    0.004    0.000    0.006    0.000 triggerscope.py:19(_RegisterTrigger)
       11    0.000    0.000    0.000    0.000 triggerscope.py:26(PopTriggerScope)
       11    0.000    0.000    0.000    0.000 triggerscope.py:5(PushTriggerScope)
        1    0.000    0.000    0.000    0.000 trigtrg.py:6(<module>)
        1    0.000    0.000    0.000    0.000 ubconv.py:1(<module>)
        1    0.000    0.000    0.007    0.007 unitprp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unitprp.py:4(UnitProperty)
        1    0.000    0.000    0.000    0.000 utf_8.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
     2561    0.008    0.000    0.029    0.000 utils.py:15(EPD)
       43    0.000    0.000    0.000    0.000 utils.py:21(List2Assignable)
       14    0.000    0.000    0.001    0.000 utils.py:29(Assignable2List)
4621/1914    0.011    0.000    0.011    0.000 utils.py:4(FlattenList)
        1    0.000    0.000    0.000    0.000 vbase.py:1(<module>)
      286    0.001    0.000    0.012    0.000 vbase.py:14(AtLeast)
       32    0.000    0.000    0.002    0.000 vbase.py:17(AtMost)
       15    0.000    0.000    0.001    0.000 vbase.py:20(Exactly)
       10    0.000    0.000    0.000    0.000 vbase.py:25(SetNumber)
      318    0.001    0.000    0.010    0.000 vbase.py:28(AddNumber)
      287    0.001    0.000    0.009    0.000 vbase.py:31(SubtractNumber)
        1    0.000    0.000    0.000    0.000 vbase.py:4(VariableBase)
        2    0.002    0.001    0.002    0.001 {built-in method LoadLibrary}
      146    0.004    0.000    0.004    0.000 {built-in method OpenKey}
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
       86    0.003    0.000    0.003    0.000 {built-in method __build_class__}
     12/9    0.000    0.000    5.421    0.602 {built-in method __import__}
       24    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x6C044C20}
       72    0.000    0.000    0.000    0.000 {built-in method _fix_co_filename}
        1    0.000    0.000    0.000    0.000 {built-in method _getdefaultlocale}
     1766    0.001    0.000    0.001    0.000 {built-in method _getframe}
      294    0.000    0.000    0.000    0.000 {built-in method acquire_lock}
      150    0.000    0.000    0.000    0.000 {built-in method allocate_lock}
       80    0.000    0.000    0.000    0.000 {built-in method any}
       19    0.000    0.000    0.000    0.000 {built-in method calcsize}
        9    0.000    0.000    0.000    0.000 {built-in method callable}
       22    0.000    0.000    0.000    0.000 {built-in method chr}
        2    0.000    0.000    0.000    0.000 {built-in method compile}
     83/1    0.009    0.000    5.503    5.503 {built-in method exec}
      144    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      266    0.000    0.000    0.000    0.000 {built-in method get_ident}
     2213    0.004    0.000    0.004    0.000 {built-in method getattr}
       21    0.000    0.000    0.000    0.000 {built-in method getcwd}
        2    0.000    0.000    0.000    0.000 {built-in method globals}
      601    0.001    0.000    0.001    0.000 {built-in method hasattr}
        2    0.000    0.000    0.000    0.000 {built-in method init_builtin}
       13    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       73    0.000    0.000    0.000    0.000 {built-in method is_frozen}
13227/13225    0.005    0.000    0.006    0.000 {built-in method isinstance}
     39/6    0.000    0.000    0.001    0.000 {built-in method issubclass}
118147/118141    0.019    0.000    0.019    0.000 {built-in method len}
       15    0.002    0.000    0.002    0.000 {built-in method listdir}
        1    0.001    0.001    0.001    0.001 {built-in method load_dynamic}
       72    0.005    0.000    0.005    0.000 {built-in method loads}
        2    0.000    0.000    0.000    0.000 {built-in method max}
       24    0.000    0.000    0.000    0.000 {built-in method min}
       26    0.003    0.000    0.003    0.000 {built-in method open}
       15    0.000    0.000    0.000    0.000 {built-in method ord}
        4    0.000    0.000    0.000    0.000 {built-in method pack}
        2    0.000    0.000    0.000    0.000 {built-in method print}
       25    0.000    0.000    0.000    0.000 {built-in method proxy}
      427    0.000    0.000    0.000    0.000 {built-in method release_lock}
       10    0.000    0.000    0.000    0.000 {built-in method repr}
      122    0.000    0.000    0.000    0.000 {built-in method setattr}
       34    0.000    0.000    0.000    0.000 {built-in method sizeof}
    36294    3.705    0.000    3.705    0.000 {built-in method stat}
       54    0.000    0.000    0.000    0.000 {built-in method utf_8_decode}
       58    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       25    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      198    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1196    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      931    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
       27    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    79641    0.023    0.000    0.023    0.000 {method 'endswith' of 'str' objects}
     2756    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
       28    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
   152067    0.150    0.000    0.150    0.000 {method 'format' of 'str' objects}
     6830    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       74    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       14    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
     2360    0.010    0.000    0.010    0.000 {method 'join' of 'str' objects}
      166    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       52    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      242    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       72    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
       27    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
       25    0.002    0.000    0.002    0.000 {method 'readlines' of '_io._IOBase' objects}
       15    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       25    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
     1780    0.039    0.000    0.039    0.000 {method 'replace' of 'str' objects}
     1756    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
      297    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      145    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      984    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       25    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
       10    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       25    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
    79717    0.040    0.000    0.040    0.000 {method 'startswith' of 'str' objects}
    72034    0.031    0.000    0.031    0.000 {method 'strip' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        9    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}


